"ANNEE";"COMM";"TYPE_LGT";"LOG_AUT";"LOG_COM";"SDP_AUT";"SDP_COM"
"2025";"95258";"Individuel groupe";0;;0;
"2025";"95258";"Collectif";0;;0;
"2025";"95258";"Residence";0;;0;
"2025";"95268";"Tous Logements";3;;322;
"2025";"95268";"Individuel pur";3;;322;
"2025";"95268";"Individuel groupe";0;;0;
"2025";"95268";"Collectif";0;;0;
"2025";"95268";"Residence";0;;0;
"2025";"95270";"Tous Logements";1;;109;
"2025";"95270";"Individuel pur";1;;109;
"2025";"95270";"Individuel groupe";0;;0;
"2025";"95270";"Collectif";0;;0;
"2025";"95270";"Residence";0;;0;
"2025";"95271";"Tous Logements";0;;0;
"2025";"95271";"Individuel pur";0;;0;
"2025";"95271";"Individuel groupe";0;;0;
"2025";"95271";"Collectif";0;;0;
"2025";"95271";"Residence";0;;0;
"2025";"95277";"Tous Logements";227;;14213;
"2025";"95277";"Individuel pur";2;;273;
"2025";"95277";"Individuel groupe";0;;0;
"2025";"95277";"Collectif";225;;13940;
"2025";"95277";"Residence";0;;0;
"2025";"95280";"Tous Logements";221;;14700;
"2025";"95280";"Individuel pur";13;;2092;
"2025";"95280";"Individuel groupe";2;;100;
"2025";"95280";"Collectif";206;;12508;
"2025";"95280";"Residence";0;;0;
"2025";"95282";"Tous Logements";0;;0;
"2025";"95282";"Individuel pur";0;;0;
"2025";"95282";"Individuel groupe";0;;0;
"2025";"95282";"Collectif";0;;0;
"2025";"95282";"Residence";0;;0;
"2025";"95287";"Tous Logements";1;;41;
"2025";"95287";"Individuel pur";1;;41;
"2025";"95287";"Individuel groupe";0;;0;
"2025";"95287";"Collectif";0;;0;
"2025";"95287";"Residence";0;;0;
"2025";"95288";"Tous Logements";4;;272;
"2025";"95288";"Individuel pur";4;;272;
"2025";"95288";"Individuel groupe";0;;0;
"2025";"95288";"Collectif";0;;0;
"2025";"95288";"Residence";0;;0;
"2025";"95295";"Tous Logements";0;;0;
"2025";"95295";"Individuel pur";0;;0;
"2025";"95295";"Individuel groupe";0;;0;
"2025";"95295";"Collectif";0;;0;
"2025";"95295";"Residence";0;;0;
"2025";"95298";"Tous Logements";1;;150;
"2025";"95298";"Individuel pur";1;;150;
"2025";"95298";"Individuel groupe";0;;0;
"2025";"95298";"Collectif";0;;0;
"2025";"95298";"Residence";0;;0;
"2025";"95301";"Tous Logements";0;;0;
"2025";"95301";"Individuel pur";0;;0;
"2025";"95301";"Individuel groupe";0;;0;
"2025";"95301";"Collectif";0;;0;
"2025";"95301";"Residence";0;;0;
"2025";"95303";"Tous Logements";1;;84;
"2025";"95303";"Individuel pur";1;;84;
"2025";"95303";"Individuel groupe";0;;0;
"2025";"95303";"Collectif";0;;0;
"2025";"95303";"Residence";0;;0;
"2025";"95304";"Tous Logements";1;;74;
"2025";"95304";"Individuel pur";1;;74;
"2025";"95304";"Individuel groupe";0;;0;
"2025";"95304";"Collectif";0;;0;
"2025";"95304";"Residence";0;;0;
"2025";"95306";"Tous Logements";20;;2171;
"2025";"95306";"Individuel pur";14;;1617;
"2025";"95306";"Individuel groupe";6;;554;
"2025";"95306";"Collectif";0;;0;
"2025";"95306";"Residence";0;;0;
"2025";"95308";"Tous Logements";0;;0;
"2025";"95308";"Individuel pur";0;;0;
"2025";"95308";"Individuel groupe";0;;0;
"2025";"95308";"Collectif";0;;0;
"2025";"95308";"Residence";0;;0;
"2025";"95309";"Tous Logements";0;;0;
"2025";"95309";"Individuel pur";0;;0;
"2025";"95309";"Individuel groupe";0;;0;
"2025";"95309";"Collectif";0;;0;
"2025";"95309";"Residence";0;;0;
"2025";"95313";"Tous Logements";11;;1404;
"2025";"95313";"Individuel pur";11;;1404;
"2025";"95313";"Individuel groupe";0;;0;
"2025";"95313";"Collectif";0;;0;
"2025";"95313";"Residence";0;;0;
"2025";"95316";"Tous Logements";0;;0;
"2025";"95316";"Individuel pur";0;;0;
"2025";"95316";"Individuel groupe";0;;0;
"2025";"95316";"Collectif";0;;0;
"2025";"95316";"Residence";0;;0;
"2025";"95323";"Tous Logements";384;;25235;
"2025";"95323";"Individuel pur";8;;1083;
"2025";"95323";"Individuel groupe";21;;1925;
"2025";"95323";"Collectif";349;;21937;
"2025";"95323";"Residence";6;;290;
"2025";"95328";"Tous Logements";0;;0;
"2025";"95328";"Individuel pur";0;;0;
"2025";"95328";"Individuel groupe";0;;0;
"2025";"95328";"Collectif";0;;0;
"2025";"95328";"Residence";0;;0;
"2025";"95331";"Tous Logements";0;;0;
"2025";"95331";"Individuel pur";0;;0;
"2025";"95331";"Individuel groupe";0;;0;
"2025";"95331";"Collectif";0;;0;
"2025";"95331";"Residence";0;;0;
"2025";"95341";"Tous Logements";1;;19;
"2025";"95341";"Individuel pur";1;;19;
"2025";"95341";"Individuel groupe";0;;0;
"2025";"95341";"Collectif";0;;0;
"2025";"95341";"Residence";0;;0;
"2025";"95348";"Tous Logements";6;;751;
"2025";"95348";"Individuel pur";6;;751;
"2025";"95348";"Individuel groupe";0;;0;
"2025";"95348";"Collectif";0;;0;
"2025";"95348";"Residence";0;;0;
"2025";"95351";"Tous Logements";138;;9231;
"2025";"95351";"Individuel pur";3;;181;
"2025";"95351";"Individuel groupe";11;;1063;
"2025";"95351";"Collectif";29;;1868;
"2025";"95351";"Residence";95;;6119;
"2025";"95352";"Tous Logements";11;;1520;
"2025";"95352";"Individuel pur";6;;1174;
"2025";"95352";"Individuel groupe";0;;0;
"2025";"95352";"Collectif";5;;346;
"2025";"95352";"Residence";0;;0;
"2025";"95353";"Tous Logements";5;;619;
"2025";"95353";"Individuel pur";3;;438;
"2025";"95353";"Individuel groupe";2;;181;
"2025";"95353";"Collectif";0;;0;
"2025";"95353";"Residence";0;;0;
"2025";"95355";"Tous Logements";5;;493;
"2025";"95355";"Individuel pur";1;;39;
"2025";"95355";"Individuel groupe";0;;0;
"2025";"95355";"Collectif";4;;454;
"2025";"95355";"Residence";0;;0;
"2025";"95365";"Tous Logements";0;;0;
"2025";"95365";"Individuel pur";0;;0;
"2025";"95365";"Individuel groupe";0;;0;
"2025";"95365";"Collectif";0;;0;
"2025";"95365";"Residence";0;;0;
"2025";"95369";"Tous Logements";0;;0;
"2025";"95369";"Individuel pur";0;;0;
"2025";"95369";"Individuel groupe";0;;0;
"2025";"95369";"Collectif";0;;0;
"2025";"95369";"Residence";0;;0;
"2025";"95370";"Tous Logements";8;;514;
"2025";"95370";"Individuel pur";3;;233;
"2025";"95370";"Individuel groupe";0;;0;
"2025";"95370";"Collectif";5;;281;
"2025";"95370";"Residence";0;;0;
"2025";"95371";"Tous Logements";246;;15163;
"2025";"95371";"Individuel pur";6;;614;
"2025";"95371";"Individuel groupe";18;;1591;
"2025";"95371";"Collectif";222;;12958;
"2025";"95371";"Residence";0;;0;
"2025";"95379";"Tous Logements";0;;0;
"2025";"95379";"Individuel pur";0;;0;
"2025";"95379";"Individuel groupe";0;;0;
"2025";"95379";"Collectif";0;;0;
"2025";"95379";"Residence";0;;0;
"2025";"95387";"Tous Logements";0;;0;
"2025";"95387";"Individuel pur";0;;0;
"2025";"95387";"Individuel groupe";0;;0;
"2025";"95387";"Collectif";0;;0;
"2025";"95387";"Residence";0;;0;
"2025";"95388";"Tous Logements";1;;224;
"2025";"95388";"Individuel pur";1;;224;
"2025";"95388";"Individuel groupe";0;;0;
"2025";"95388";"Collectif";0;;0;
"2025";"95388";"Residence";0;;0;
"2025";"95392";"Tous Logements";6;;570;
"2025";"95392";"Individuel pur";4;;386;
"2025";"95392";"Individuel groupe";2;;184;
"2025";"95392";"Collectif";0;;0;
"2025";"95392";"Residence";0;;0;
"2025";"95394";"Tous Logements";282;;17932;
"2025";"95394";"Individuel pur";1;;228;
"2025";"95394";"Individuel groupe";13;;1152;
"2025";"95394";"Collectif";268;;16552;
"2025";"95394";"Residence";0;;0;
"2025";"95395";"Tous Logements";0;;0;
"2025";"95395";"Individuel pur";0;;0;
"2025";"95395";"Individuel groupe";0;;0;
"2025";"95395";"Collectif";0;;0;
"2025";"95395";"Residence";0;;0;
"2025";"95409";"Tous Logements";0;;0;
"2025";"95409";"Individuel pur";0;;0;
"2025";"95409";"Individuel groupe";0;;0;
"2025";"95409";"Collectif";0;;0;
"2025";"95409";"Residence";0;;0;
"2025";"95422";"Tous Logements";0;;0;
"2025";"95422";"Individuel pur";0;;0;
"2025";"95422";"Individuel groupe";0;;0;
"2025";"95422";"Collectif";0;;0;
"2025";"95422";"Residence";0;;0;
"2025";"95424";"Tous Logements";4;;253;
"2025";"95424";"Individuel pur";4;;253;
"2025";"95424";"Individuel groupe";0;;0;
"2025";"95424";"Collectif";0;;0;
"2025";"95424";"Residence";0;;0;
"2025";"95426";"Tous Logements";0;;0;
"2025";"95426";"Individuel pur";0;;0;
"2025";"95426";"Individuel groupe";0;;0;
"2025";"95426";"Collectif";0;;0;
"2025";"95426";"Residence";0;;0;
"2025";"95427";"Tous Logements";129;;8210;
"2025";"95427";"Individuel pur";3;;325;
"2025";"95427";"Individuel groupe";2;;241;
"2025";"95427";"Collectif";124;;7644;
"2025";"95427";"Residence";0;;0;
"2025";"95428";"Tous Logements";16;;1433;
"2025";"95428";"Individuel pur";5;;782;
"2025";"95428";"Individuel groupe";2;;418;
"2025";"95428";"Collectif";9;;233;
"2025";"95428";"Residence";0;;0;
"2025";"95429";"Tous Logements";0;;0;
"2025";"95429";"Individuel pur";0;;0;
"2025";"95429";"Individuel groupe";0;;0;
"2025";"95429";"Collectif";0;;0;
"2025";"95429";"Residence";0;;0;
"2025";"95430";"Tous Logements";9;;594;
"2025";"95430";"Individuel pur";2;;228;
"2025";"95430";"Individuel groupe";5;;253;
"2025";"95430";"Collectif";2;;113;
"2025";"95430";"Residence";0;;0;
"2025";"95436";"Tous Logements";6;;322;
"2025";"95436";"Individuel pur";0;;0;
"2025";"95436";"Individuel groupe";6;;322;
"2025";"95436";"Collectif";0;;0;
"2025";"95436";"Residence";0;;0;
"2025";"95438";"Tous Logements";0;;0;
"2025";"95438";"Individuel pur";0;;0;
"2025";"95438";"Individuel groupe";0;;0;
"2025";"95438";"Collectif";0;;0;
"2025";"95438";"Residence";0;;0;
"2025";"95445";"Tous Logements";0;;0;
"2025";"95445";"Individuel pur";0;;0;
"2025";"95445";"Individuel groupe";0;;0;
"2025";"95445";"Collectif";0;;0;
"2025";"95445";"Residence";0;;0;
"2025";"95446";"Tous Logements";6;;905;
"2025";"95446";"Individuel pur";6;;905;
"2025";"95446";"Individuel groupe";0;;0;
"2025";"95446";"Collectif";0;;0;
"2025";"95446";"Residence";0;;0;
"2025";"95447";"Tous Logements";0;;0;
"2025";"95447";"Individuel pur";0;;0;
"2025";"95447";"Individuel groupe";0;;0;
"2025";"95447";"Collectif";0;;0;
"2025";"95447";"Residence";0;;0;
"2025";"95450";"Tous Logements";1;;144;
"2025";"95450";"Individuel pur";1;;144;
"2025";"95450";"Individuel groupe";0;;0;
"2025";"95450";"Collectif";0;;0;
"2025";"95450";"Residence";0;;0;
"2025";"95452";"Tous Logements";0;;0;
"2025";"95452";"Individuel pur";0;;0;
"2025";"95452";"Individuel groupe";0;;0;
"2025";"95452";"Collectif";0;;0;
"2025";"95452";"Residence";0;;0;
"2025";"95456";"Tous Logements";0;;0;
"2025";"95456";"Individuel pur";0;;0;
"2025";"95456";"Individuel groupe";0;;0;
"2025";"95456";"Collectif";0;;0;
"2025";"95456";"Residence";0;;0;
"2025";"95459";"Tous Logements";0;;0;
"2025";"95459";"Individuel pur";0;;0;
"2025";"95459";"Individuel groupe";0;;0;
"2025";"95459";"Collectif";0;;0;
"2025";"95459";"Residence";0;;0;
"2025";"95462";"Tous Logements";0;;0;
"2025";"95462";"Individuel pur";0;;0;
"2025";"95462";"Individuel groupe";0;;0;
"2025";"95462";"Collectif";0;;0;
"2025";"95462";"Residence";0;;0;
"2025";"95476";"Tous Logements";293;;8064;
